commune,taux
DRAVEIL,42.86
THOIRY,42.86
MORET-LOING-ET-ORVANNE,42.86
BEAUSOLEIL,42.86
ISOLA,42.86
VILLENEUVE-LOUBET,42.86
"SAINT LAURENT DU VAR",42.86
SAINT-PIERRE-DU-MONT,42.86
CESSON,41.67
MONT-DE-MARSAN,41.67
DIGNE-LES-BAINS,41.67
"LE PLESSIS-ROBINSON",41.18
CHATENAY-MALABRY,40.91
ANTONY,40.74
DAX,40.63
"LE CANNET",40.48
EZANVILLE,40.00
"LE KREMLIN-BICETRE",40.00
RUNGIS,40.00
CROSNE,40.00
VITTEL,40.00
CASTRES,40.00
"LE CROTOY",40.00
AUBENAS,40.00
IRIGNY,40.00
"AMELIE LES BAINS",40.00
"FACHES THUMESNIL",40.00
ENCHASTRAYES,40.00
SEYSSINET-PARISET,40.00
BOURG-DE-PEAGE,40.00
LISIEUX,40.00
ST-GENIS-POUILLY,40.00
FERNEY-VOLTAIRE,40.00
BELLEY,40.00
SETE,38.71
"CLAYES-SOUS-BOIS (LES)",38.46
"LE POULIGUEN",38.46
SEIGNOSSE,38.46
"LES DEUX ALPES",38.46
"SAINT ANDRE LES VERGERS",38.46
"PARIS 06",38.37
CAPBRETON,38.10
"VILLENAVE D ORNON",38.10
CLAMART,37.50
PROVINS,37.50
MOLIETS-ET-MAA,37.50
ANGOULEME,37.50
RUEIL-MALMAISON,36.76
PESSAC,36.67
MONTFERMEIL,36.36
MONTGERON,36.36
VILLEPARISIS,36.36
ERAGNY-SUR-OISE,35.71
SAINT-JEAN-DE-MONTS,34.48
"REMIRE MONTJOLY",33.33
COURDIMANCHE,33.33
ROISSY-EN-FRANCE,33.33
BAILLET-EN-FRANCE,33.33
MONTLIGNON,33.33
"LE BLANC-MESNIL",33.33
SAVIGNY-SUR-ORGE,33.33
PARAY-VIEILLE-POSTE,33.33
BIEVRES,33.33
"VERRIERES LE BUISSON",33.33
"VILLE-DU-BOIS (LA)",33.33
"MORIERES LES AVIGNON",33.33
FREJUS,33.33
PLAISIR,33.33
"VERNEUIL SUR SEINE",33.33
COULOMMIERS,33.33
SERRIS,33.33
TRILPORT,33.33
"STE ADRESSE",33.33
GAILLARD,33.33
RUMILLY,33.33
VIUZ-EN-SALLAZ,33.33
"PRAZ SUR ARLY",33.33
MORILLON,33.33
PRIVAS,33.33
ALBIGNY-SUR-SAONE,33.33
"FONTAINES SUR SAONE",33.33
SAINT-CYPRIEN,33.33
"FONT-ROMEU ODEILLO-VIA",33.33
ISSOIRE,33.33
"BOULOGNE SUR MER",33.33
CLERMONT,33.33
"VILLERS ST PAUL",33.33
VILLEFRANCHE-SUR-MER,33.33
DRAP,33.33
MOUGINS,33.33
LAMBERSART,33.33
PLOEMEUR,33.33
LOCMARIA,33.33
ETEL,33.33
SAINT-LO,33.33
DONVILLE-LES-BAINS,33.33
MURS-ERIGNE,33.33
MONTOIR-DE-BRETAGNE,33.33
"SAINT GENEST LERPT",33.33
BALBIGNY,33.33
"MONTRICHARD VAL DE CHER",33.33
JAUSIERS,33.33
FORCALQUIER,33.33
"LES ROUSSES",33.33
MEYLAN,33.33
VIZILLE,33.33
SAINT-MARTIN-D'URIAGE,33.33
SAINT-MARCELLIN,33.33
BETTON,33.33
NOYAL-CHATILLON-SUR-SEICHE,33.33
VEZIN-LE-COQUET,33.33
LACANAU,33.33
AMBARES-ET-LAGRAVE,33.33
PROPRIANO,33.33
SERRA-DI-FERRO,33.33
TOURY,33.33
BERGERAC,33.33
PLENEUF-VAL-ANDRE,33.33
